eye_ratio,face_aspect_ratio,eye_position,eye_size_ratio,asymmetry,eye_angle,upper_face_ratio,lower_face_ratio,face_width,face_height,image_path,label
0.3848122573057946,1.0,0.403076923076923,0.2323076923076923,0.0123076923076923,0.0319890840393151,0.403076923076923,0.5969230769230769,325,325,ffhq_images/05644.png,normal
0.355786406317191,1.0,0.4117647058823529,0.1330532212885154,0.0056022408963585,0.0157467298498688,0.4117647058823529,0.5882352941176471,357,357,ffhq_images/06185.png,normal
0.3913150830518836,1.0,0.4014492753623188,0.1927536231884058,0.0028985507246376,0.007407271931165,0.4014492753623188,0.5985507246376811,345,345,ffhq_images/02753.png,normal
0.3959643051630787,1.0,0.3973988439306358,0.2471098265895953,0.0028901734104046,0.0072991404436972,0.3973988439306358,0.6026011560693642,346,346,ffhq_images/06127.png,normal
0.3631714628635755,1.0,0.388268156424581,0.2164804469273743,0.0055865921787709,0.0153834017805951,0.388268156424581,0.611731843575419,358,358,ffhq_images/01320.png,normal
0.3826196748534517,1.0,0.3753623188405797,0.2,0.0028985507246376,0.0075756126511954,0.3753623188405797,0.6246376811594203,345,345,ffhq_images/01401.png,normal
0.3911764705882353,1.0,0.3823529411764705,0.2411764705882353,0.0,0.0,0.3823529411764705,0.6176470588235294,340,340,ffhq_images/08007.png,normal
0.3699829038628516,1.0,0.3981233243967828,0.2332439678284182,0.002680965147453,0.0072462499798971,0.3981233243967828,0.6018766756032171,373,373,ffhq_images/08763.png,normal
0.3536013840158513,1.0,0.3931398416886543,0.2110817941952506,0.0052770448548812,0.0149242649900849,0.3931398416886543,0.6068601583113457,379,379,ffhq_images/08560.png,normal
0.363153743336948,1.0,0.3753387533875338,0.2411924119241192,0.002710027100271,0.0074625480352489,0.3753387533875338,0.6246612466124661,369,369,ffhq_images/11622.png,normal
0.343759864126148,1.0,0.3919270833333333,0.2044270833333333,0.0026041666666666,0.0075756126511954,0.3919270833333333,0.6080729166666666,384,384,ffhq_images/11048.png,normal
0.348077260197464,1.0,0.4046961325966851,0.2002762430939226,0.0027624309392265,0.007936341307466,0.4046961325966851,0.5953038674033149,362,362,ffhq_images/05052.png,normal
0.3422564336641636,1.0,0.3836898395721925,0.1925133689839572,0.0026737967914438,0.0078123410601011,0.3836898395721925,0.6163101604278075,374,374,ffhq_images/11790.png,normal
0.3473502302311085,1.0,0.407563025210084,0.2338935574229692,0.0028011204481792,0.008064341306767,0.407563025210084,0.592436974789916,357,357,ffhq_images/04873.png,normal
0.3881316035021274,1.0,0.3963963963963964,0.2372372372372372,0.024024024024024,0.061936184550804,0.3963963963963964,0.6036036036036037,333,333,ffhq_images/05542.png,normal
