eye_ratio,face_aspect_ratio,eye_position,eye_size_ratio,asymmetry,eye_angle,upper_face_ratio,lower_face_ratio,face_width,face_height,image_path,label
0.3966296371332523,1.0,0.38338658146964855,0.24121405750798722,0.019169329073482427,0.04834938665190287,0.38338658146964855,0.6166134185303515,313,313,synthetic_faces/synthetic_00000.png,normal
0.3093448273726623,1.0,0.37733333333333335,0.184,0.0026666666666666666,0.008620476112136321,0.37733333333333335,0.6226666666666667,375,375,synthetic_faces/synthetic_00001.png,hypotelorism
0.37969852091376477,1.0,0.4121813031161473,0.19121813031161472,0.0084985835694051,0.02238432033929021,0.4121813031161473,0.5878186968838527,353,353,synthetic_faces/synthetic_00002.png,normal
0.28584812715670416,1.0,0.7419825072886297,0.15451895043731778,0.008746355685131196,0.030602687928718824,0.7419825072886297,0.25801749271137026,343,343,synthetic_faces/synthetic_00003.png,hypotelorism
0.3757062146892655,1.0,0.4067796610169492,0.2288135593220339,0.0,0.0,0.4067796610169492,0.5932203389830508,354,354,synthetic_faces/synthetic_00005.png,normal
0.2864422213799632,1.0,0.3979591836734694,0.17091836734693877,0.02040816326530612,0.07130746478529032,0.3979591836734694,0.6020408163265306,392,392,synthetic_faces/synthetic_00006.png,hypotelorism
0.36183457819616,1.0,0.40028490028490027,0.22364672364672364,0.002849002849002849,0.007873853024100543,0.40028490028490027,0.5997150997150997,351,351,synthetic_faces/synthetic_00007.png,normal
0.37714285714285717,1.0,0.4057142857142857,0.16142857142857142,0.0,0.0,0.4057142857142857,0.5942857142857143,350,350,synthetic_faces/synthetic_00008.png,normal
0.3153296150053667,1.0,0.3768768768768769,0.19519519519519518,0.003003003003003003,0.009523521593612855,0.3768768768768769,0.6231231231231231,333,333,synthetic_faces/synthetic_00009.png,hypotelorism
0.38394010687727614,1.0,0.38244047619047616,0.21726190476190477,0.002976190476190476,0.007751782712206873,0.38244047619047616,0.6175595238095238,336,336,synthetic_faces/synthetic_00010.png,normal
0.3219105495826377,1.0,0.3997361477572559,0.20976253298153033,0.002638522427440633,0.008196537749912585,0.3997361477572559,0.600263852242744,379,379,synthetic_faces/synthetic_00011.png,hypotelorism
